intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100,los005,s005,his005,los010,s010,his010,los025,s025,his025,los050,s050,his050,los100,s100,his100
62,0.1208219069,0.2736218773,0.4264218478,0.1037264328,0.2979795242,0.4922326156,0.1994110902,0.4226313431,0.645851596,0.2045151782,0.4929280586,0.7813409391,0.2999180468,0.6581467915,1.0163755361,0.6323123934,0.8692787684,1.1062451435,0.7568742931,1.0557977882,1.3547212834,0.9031995685,1.2514325325,1.5996654966,1.0259022567,1.5655211733,2.1051400899,0.9152896698,1.9019767048,2.8886637399
63,0.1052300975,0.2634670644,0.4217040313,0.0835392717,0.2808708992,0.4782025267,0.1751225259,0.3996953629,0.6242682,0.1781384665,0.4658337175,0.7535289686,0.2694907861,0.631655769,0.993820752,0.6175749434,0.8584371388,1.0992993343,0.7344065022,1.0381782942,1.3419500862,0.8753312868,1.2256884026,1.5760455184,0.9980891373,1.5491115286,2.1001339198,0.9096283501,1.8952694337,2.8809105172
64,0.098922242,0.2669137449,0.4349052478,0.0744454163,0.2826892575,0.4909330987,0.1615491681,0.3980011788,0.6344531896,0.153618454,0.4471230115,0.740627569,0.2308498756,0.5883643714,0.9458788672,0.6135191216,0.8683054101,1.1230916986,0.72640493,1.0509611306,1.3755173312,0.8657202839,1.2375269972,1.6093337104,1.002654042,1.5576781621,2.1127022821,0.8945427208,1.8220387255,2.7495347302
65,0.110733502,0.2877993771,0.4648652523,0.0839144268,0.3018806577,0.5198468886,0.1681833046,0.4204189103,0.672654516,0.1663755953,0.478446333,0.7905170706,0.2507656534,0.6186630736,0.9865604939,0.6242307133,0.888613155,1.1529955968,0.746730046,1.0843498956,1.4219697451,0.897892445,1.296200449,1.694508453,1.0454451194,1.6267471473,2.2080491752,0.9870633403,1.8675059558,2.7479485713
66,0.1393034767,0.3244636316,0.5096237866,0.1216602946,0.3464489271,0.5712375595,0.2175469234,0.4821454767,0.74674403,0.2368292858,0.5648924207,0.8929555556,0.3212496799,0.7189219804,1.1165942809,0.6890980971,0.9790318505,1.268965604,0.8253498096,1.1995117923,1.5736737751,0.9926605465,1.4495935485,1.9065265506,1.1858875536,1.8818440645,2.5778005754,1.0890015174,2.1337028867,3.1784042561
67,0.1454421374,0.3267983156,0.5081544938,0.1314584995,0.3510983579,0.5707382164,0.2261383441,0.4829693605,0.739800377,0.2403341383,0.5735027765,0.9066714147,0.3333360485,0.7348914309,1.1364468134,0.7121611177,0.997955081,1.2837490443,0.8550965804,1.2233809068,1.5916652331,1.0345005299,1.473499661,1.9124987921,1.2422907383,1.8986863202,2.5550819022,1.1086221072,2.1799430386,3.2512639701
68,0.1418254284,0.329807194,0.5177889597,0.1186601246,0.3437686412,0.5688771579,0.196512858,0.4604367147,0.7243605715,0.2033276351,0.5438096475,0.8842916599,0.2708082997,0.6784971469,1.0861859941,0.7067868435,0.9997655206,1.2927441976,0.8455419598,1.2155365789,1.5855311981,1.0188665741,1.4542079251,1.8895492761,1.1885085148,1.8454643643,2.5024202138,1.0534726657,2.0322802722,3.0110878786
69,0.1611281025,0.3503963506,0.5396645987,0.1440626516,0.3729707612,0.6018788708,0.2222933302,0.4884128004,0.7545322705,0.2347187337,0.5856548981,0.9365910625,0.3024319712,0.7139441528,1.1254563344,0.7259413695,1.0227002727,1.3194591758,0.8674206291,1.2428999971,1.6183793652,1.0524865259,1.4871902562,1.9218939866,1.2374408509,1.8612454531,2.4850500552,1.1634199042,2.1018694555,3.0403190068
70,0.1634517779,0.3603440323,0.5572362867,0.1536793583,0.3912336996,0.6287880408,0.2365512859,0.5161708054,0.7957903249,0.2496873676,0.6113645828,0.9730417981,0.3205775289,0.7479311719,1.175284815,0.7336472568,1.0466776074,1.359707958,0.8835988873,1.2821150258,1.6806311644,1.0776847624,1.5448594663,2.0120341701,1.2626582002,1.904935138,2.5472120757,1.1916513356,2.1162750065,3.0408986775
71,0.1561782191,0.3548774687,0.5535767183,0.1378168544,0.3785205216,0.6192241888,0.2137027079,0.5044913506,0.7952799934,0.22699013,0.5987177932,0.9704454564,0.3187336172,0.7703411488,1.2219486804,0.7554977846,1.0681571716,1.3808165586,0.9052296513,1.306432034,1.7076344168,1.1117298029,1.5905892035,2.0694486042,1.305650714,1.9576030436,2.6095553732,1.2393549527,2.3087501729,3.3781453931
72,0.1694716258,0.3641287613,0.5587858968,0.1524555811,0.387141726,0.6218278708,0.2279871123,0.5103908238,0.7927945354,0.2401103486,0.6114515826,0.9827928167,0.328362868,0.7766566741,1.2249504802,0.7775122068,1.0833408921,1.3891695774,0.9341634605,1.3198462847,1.7055291089,1.1385706018,1.5966371504,2.0547036989,1.3279909581,1.9865515213,2.6451120845,1.2034229393,2.2657920303,3.3281611212
73,0.1576257631,0.3491000105,0.5405742579,0.1350486455,0.3655107219,0.5959727982,0.2066985819,0.4910302413,0.7753619008,0.207620546,0.5778408951,0.9480612442,0.3015166195,0.7534834053,1.205450191,0.7726261582,1.0642940478,1.3559619374,0.9253608908,1.2906626073,1.6559643238,1.1227585684,1.5563237066,1.9898888448,1.3093462633,1.9286645282,2.5479827931,1.1728971238,2.2173784308,3.2618597378
74,0.1538456217,0.3334300654,0.5130145091,0.1301218572,0.3482173934,0.5663129295,0.2090350749,0.4840539948,0.7590729148,0.2058153386,0.5597795742,0.9137438097,0.2913256145,0.7151659521,1.1390062897,0.7781872156,1.0493456897,1.3205041638,0.9241840437,1.2633721239,1.602560204,1.1230554941,1.5275364542,1.9320174142,1.289687848,1.8459669264,2.4022460048,1.1272494007,2.1024696442,3.0776898877
75,0.1450875419,0.3279530734,0.5108186049,0.1148033432,0.3358590568,0.5569147704,0.1906320756,0.4657644231,0.7408967707,0.1789911919,0.5334226808,0.8878541697,0.2635041114,0.6856062568,1.1077084023,0.7746199404,1.0553749018,1.3361298632,0.906630185,1.2552993984,1.6039686117,1.0937803114,1.5068856003,1.9199908891,1.2605756677,1.8492505033,2.4379253388,1.1194887039,2.1442519784,3.1690152528
76,0.1419195638,0.3260671201,0.5102146765,0.1124303739,0.3354535917,0.5584768096,0.178708401,0.4512011381,0.7236938752,0.1552730352,0.5084761409,0.8616792467,0.2080180376,0.6223636511,1.0367092646,0.7661760527,1.0525208344,1.3388656161,0.8903136091,1.2450049745,1.5996963399,1.0760270264,1.4903878558,1.9047486852,1.2352469432,1.7908169106,2.3463868779,1.0901581927,2.0601679831,3.0301777735
77,0.1589589099,0.3460936403,0.5332283706,0.1255350189,0.3548664362,0.5841978534,0.1876036575,0.468413398,0.7492231385,0.1543907198,0.5144571951,0.8745236703,0.2381606847,0.6780266177,1.1178925506,0.7881208584,1.080586386,1.3730519137,0.9198941629,1.2832525866,1.6466110104,1.1181705974,1.5492105909,1.9802505844,1.2831220394,1.8588504273,2.4345788153,1.1028090899,2.2614193022,3.4200295145
78,0.1989683925,0.3894997816,0.5800311706,0.1744508116,0.4063267484,0.6382026853,0.24106071,0.5258971102,0.8107335104,0.2111249368,0.5844886358,0.9578523348,0.2693394463,0.7391384997,1.208937553,0.8600020957,1.1747349821,1.4894678684,1.0100979974,1.4054990903,1.8009001831,1.2378884123,1.7084048969,2.1789213816,1.4262032389,2.0787730909,2.7313429429,1.1679260994,2.5019619424,3.8359977853
