intck,lor005,r005,hir005,lor010,r010,hir010,lor025,r025,hir025,lor050,r050,hir050,lor100,r100,hir100
69,-0.076297314,-0.037556008,0.0011852974,-0.11499884,-0.065576586,-0.016154331,-0.14955838,-0.086500177,-0.023441973,-0.206198177,-0.116442544,-0.026686911,-0.299630793,-0.18603217,-0.072433547
70,-0.075670347,-0.036673187,0.0023239726,-0.114419122,-0.064609858,-0.014800593,-0.145197319,-0.081982634,-0.018767948,-0.197932238,-0.108312902,-0.018693566,-0.285468312,-0.172856403,-0.060244495
71,-0.076768392,-0.037689714,0.0013889626,-0.112890022,-0.062907949,-0.012925876,-0.143561311,-0.07998823,-0.01641515,-0.193473983,-0.10347918,-0.013484376,-0.276570041,-0.163299563,-0.050029086
72,-0.078957248,-0.039862219,-0.00076719,-0.114942242,-0.064755467,-0.014568693,-0.140617626,-0.076165179,-0.011712732,-0.190129654,-0.098948182,-0.007766709,-0.281985168,-0.167067229,-0.052149291
73,-0.078831848,-0.039372577,0.0000866936,-0.114991251,-0.06439477,-0.013798289,-0.138050136,-0.072248434,-0.006446731,-0.186493337,-0.093224782,0.0000437718,-0.275570446,-0.160205739,-0.044841032
74,-0.07873512,-0.038698299,0.0013385218,-0.114109766,-0.062930066,-0.011750366,-0.135889114,-0.068385436,-0.000881759,-0.184961589,-0.089643684,0.0056742211,-0.269635051,-0.154135518,-0.038635985
75,-0.078956023,-0.038314557,0.0023269084,-0.114361764,-0.062505696,-0.010649629,-0.132017127,-0.063862047,0.0042930322,-0.178226346,-0.079796703,0.0186329402,-0.264563513,-0.147959938,-0.031356363
76,-0.078058229,-0.036786567,0.0044850954,-0.112871999,-0.06062791,-0.008383821,-0.126295423,-0.056953672,0.0123880799,-0.166804421,-0.066253459,0.0342975036,-0.261251477,-0.142525241,-0.023799004
77,-0.079268309,-0.037281849,0.0047046106,-0.109601292,-0.05634086,-0.003080427,-0.122000675,-0.051677839,0.0186449971,-0.163128307,-0.060669354,0.0417895989,-0.253561648,-0.133119972,-0.012678296
78,-0.080455351,-0.037732572,0.0049902071,-0.108441953,-0.054069766,0.0003024208,-0.11442664,-0.043520335,0.0273859698,-0.156730464,-0.052611863,0.0515067377,-0.256876533,-0.134827011,-0.012777489
79,-0.082219875,-0.038663686,0.0048925033,-0.108500338,-0.052843692,0.0028129547,-0.112770667,-0.040745092,0.0312804823,-0.148387178,-0.04235232,0.0636825373,-0.260665342,-0.135957152,-0.011248962
80,-0.084299736,-0.039858156,0.0045834244,-0.109907414,-0.052703606,0.0045002033,-0.111081402,-0.037272492,0.0365364185,-0.139821692,-0.031330786,0.0771601205,-0.261856886,-0.135181937,-0.008506988
81,-0.087964613,-0.042429536,0.0031055418,-0.110151148,-0.051535593,0.0070799607,-0.114799243,-0.039030651,0.0367379408,-0.131136866,-0.021324528,0.0884878111,-0.262044215,-0.133306176,-0.004568138
82,-0.088151366,-0.041956532,0.0042383023,-0.106007466,-0.0466902,0.0126270664,-0.110275036,-0.032825701,0.0446236342,-0.12495497,-0.012577989,0.0997989931,-0.251836909,-0.121002524,0.00983186
83,-0.091677237,-0.044996283,0.0016846706,-0.108725047,-0.048628978,0.0114670919,-0.108433554,-0.028709435,0.0510146844,-0.12070925,-0.004859479,0.1109902923,-0.247543028,-0.116298155,0.0149467167
84,-0.095797839,-0.048795112,-0.001792385,-0.110931825,-0.050449242,0.0100333413,-0.108496192,-0.026890196,0.0547158014,-0.116618509,0.0020743712,0.1207672509,-0.247297129,-0.114333028,0.0186310737
85,-0.100633833,-0.052984049,-0.005334266,-0.113817257,-0.052242183,0.0093328915,-0.107300743,-0.023392849,0.060515044,-0.105366905,0.0158646977,0.1370963009,-0.247889228,-0.113115891,0.0216574454
86,-0.104532021,-0.056479694,-0.008427367,-0.115837523,-0.053200425,0.009436673,-0.105825289,-0.020070575,0.0656841383,-0.095053356,0.0286498922,0.15235314,-0.242863588,-0.105057339,0.03274891
87,-0.11022261,-0.061443225,-0.01266384,-0.121574829,-0.057900253,0.0057743222,-0.104448134,-0.016804648,0.0708388389,-0.093735796,0.032516675,0.1587691461,-0.245167508,-0.103854076,0.0374593557
88,-0.114914414,-0.065615013,-0.016315613,-0.124144124,-0.059676783,0.0047905586,-0.106892672,-0.01706207,0.0727685309,-0.084888843,0.0452476242,0.1753840915,-0.254030434,-0.107075457,0.0398795201
89,-0.120976229,-0.071177139,-0.021378049,-0.129826827,-0.064688498,0.0004498311,-0.111337124,-0.020459901,0.0704173223,-0.08518156,0.0491471605,0.1834758809,-0.25871929,-0.108279922,0.0421594467
90,-0.126553505,-0.076143647,-0.02573379,-0.136145387,-0.070708031,-0.005270675,-0.117478643,-0.025156092,0.0671664593,-0.086776872,0.0503270506,0.1874309732,-0.257733115,-0.104363993,0.0490051297
91,-0.130574245,-0.079720738,-0.02886723,-0.140338198,-0.07437477,-0.008411342,-0.12362393,-0.030244273,0.0631353836,-0.097928823,0.0423894587,0.1827077408,-0.266941347,-0.108764791,0.049411765
92,-0.133502581,-0.082026437,-0.030550293,-0.144249434,-0.077237406,-0.010225378,-0.125135834,-0.031290061,0.0625557121,-0.110711429,0.0308396643,0.1723907575,-0.279591804,-0.117681837,0.0442281303
93,-0.137535066,-0.085873704,-0.034212343,-0.146849455,-0.079675981,-0.012502507,-0.129493189,-0.035321203,0.0588507833,-0.118969278,0.0243649595,0.167699197,-0.28888958,-0.122125805,0.0446379695
94,-0.140561848,-0.088437377,-0.036312906,-0.150994422,-0.083828453,-0.016662483,-0.138641031,-0.044418938,0.0498031551,-0.12898967,0.0161935672,0.1613768042,-0.312209487,-0.139894525,0.0324204373
95,-0.143678949,-0.091118198,-0.038557448,-0.156302389,-0.088829253,-0.021356117,-0.150914742,-0.055607848,0.0396990448,-0.143312681,0.0053241275,0.1539609356,-0.340574032,-0.161753803,0.0170664251
